2024-12-24 15:38:47,697 - data_record - INFO - This is an info message from the data logger.
2024-12-24 15:38:47,701 - data_record - INFO - This is an info message from the data logger.
2024-12-24 15:38:57,696 - data_record - INFO - Send Rate 100:Sent 54866 bytes in 10.01 seconds, throughput: 5479.66 bytes/second
2024-12-24 15:38:57,703 - data_record - INFO - Send Rate 1:Received 54055 bytes in 10.00 seconds, throughput: 5403.45 bytes/second
2024-12-24 15:38:57,705 - data_record - INFO - Send Rate 1:Received 53661 bytes in 10.00 seconds, throughput: 5364.84 bytes/second
2024-12-24 15:38:57,720 - data_record - INFO - Send Rate 100:Sent 54664 bytes in 10.01 seconds, throughput: 5458.33 bytes/second
2024-12-24 15:39:07,697 - data_record - INFO - Send Rate 100:Sent 111258 bytes in 10.00 seconds, throughput: 11125.16 bytes/second
2024-12-24 15:39:07,704 - data_record - INFO - Send Rate 2:Received 110640 bytes in 10.00 seconds, throughput: 11062.79 bytes/second
2024-12-24 15:39:07,707 - data_record - INFO - Send Rate 2:Received 110825 bytes in 10.00 seconds, throughput: 11080.66 bytes/second
2024-12-24 15:39:07,721 - data_record - INFO - Send Rate 100:Sent 111231 bytes in 10.00 seconds, throughput: 11122.65 bytes/second
2024-12-24 15:39:17,698 - data_record - INFO - Send Rate 100:Sent 121295 bytes in 10.00 seconds, throughput: 12128.95 bytes/second
2024-12-24 15:39:17,707 - data_record - INFO - Send Rate 3:Received 121411 bytes in 10.00 seconds, throughput: 12137.58 bytes/second
2024-12-24 15:39:17,708 - data_record - INFO - Send Rate 3:Received 121379 bytes in 10.00 seconds, throughput: 12136.53 bytes/second
2024-12-24 15:39:17,721 - data_record - INFO - Send Rate 100:Sent 121297 bytes in 10.00 seconds, throughput: 12129.09 bytes/second
2024-12-24 15:39:27,699 - data_record - INFO - Send Rate 100:Sent 136405 bytes in 10.00 seconds, throughput: 13639.67 bytes/second
2024-12-24 15:39:27,710 - data_record - INFO - Send Rate 4:Received 136689 bytes in 10.00 seconds, throughput: 13665.61 bytes/second
2024-12-24 15:39:27,711 - data_record - INFO - Send Rate 4:Received 68772 bytes in 10.00 seconds, throughput: 6875.72 bytes/second
2024-12-24 15:39:27,722 - data_record - INFO - Send Rate 100:Sent 68018 bytes in 10.00 seconds, throughput: 6801.30 bytes/second
2024-12-24 15:39:37,699 - data_record - INFO - Send Rate 100:Sent 145770 bytes in 10.00 seconds, throughput: 14576.21 bytes/second
2024-12-24 15:39:37,711 - data_record - INFO - Send Rate 5:Received 145398 bytes in 10.00 seconds, throughput: 14538.21 bytes/second
2024-12-24 15:39:37,713 - data_record - INFO - Send Rate 5:Received 86494 bytes in 10.00 seconds, throughput: 8648.12 bytes/second
2024-12-24 15:39:37,723 - data_record - INFO - Send Rate 100:Sent 86951 bytes in 10.00 seconds, throughput: 8694.85 bytes/second
2024-12-24 15:39:47,700 - data_record - INFO - Send Rate 100:Sent 158650 bytes in 10.00 seconds, throughput: 15863.60 bytes/second
2024-12-24 15:39:47,712 - data_record - INFO - Send Rate 6:Received 158948 bytes in 10.00 seconds, throughput: 15893.60 bytes/second
